"key","ru","en","fr","ja","ge","sp","po","ch"
"DIALOG_7_DOCTOR_LEVEL_3_KEY","ТЫ МОЖЕШЬ УМЕРЕТЬ СКОЛЬКО УГОДНО РАЗ, НО Я ВСЕГДА ВЕРНУ ТЕБЯ ОБРАТНО К ЖИЗНИ.","YOU CAN DIE AS MANY TIMES AS YOU WANT, BUT I WILL ALWAYS BRING YOU BACK TO LIFE.","TU PEUX MOURIR AUTANT DE FOIS QUE TU VEUX, MAIS JE TE RAMÈNERAI TOUJOURS À LA VIE.","あなたは何度でも死ぬことができますが、私はいつもあなたを生き返らせます。","DU KANNST SO OFT DU WILLST STERBEN, ABER ICH WERDE DICH IMMER WIEDER ZUM LEBEN ERWECKEN.","PUEDES MORIR TANTAS VECES COMO QUIERAS, PERO SIEMPRE TE DEVOLVERÉ A LA VIDA.","PODES MORRER QUANTAS VEZES QUISERES, MAS VOU SEMPRE TRAZER-TE DE VOLTA À VIDA.","你想死多少次就死多少次，但我总会让你起死回生的。"
"DIALOG_8_DOCTOR_LEVEL_3_KEY","И ТОГДА ТЫ СНОВА БУДЕШЬ ИГРАТЬ В МОЮ ИГРУ. ПОКА НЕ СОЙДЕШЬ С УМА КОНЕЧНО ЖЕ.","AND THEN YOU WILL PLAY MY GAME AGAIN. UNTIL YOU GO CRAZY, OF COURSE.","ET PUIS TU JOUERAS À NOUVEAU À MON JEU. JUSQU'À CE QUE VOUS DEVENIEZ FOU, BIEN SÛR.","そして、あなたは再び私のゲームをプレイすることになります。 もちろん、あなたが夢中になるまで。","UND DANN WIRST DU MEIN SPIEL WIEDER SPIELEN. BIS DU NATÜRLICH VERRÜCKT WIRST.","Y LUEGO VOLVERÁS A JUGAR MI JUEGO. HASTA QUE TE VUELVAS LOCO, POR SUPUESTO.","E DEPOIS VOLTAS A JOGAR O MEU JOGO. A NÃO SER QUE ENLOUQUEÇAS, CLARO.","然后你又要玩我的游戏了。 当然，直到你发疯。"
"DIALOG_9_DOCTOR_LEVEL_3_KEY","ХА-ХА-ХА! ВЕСЕЛО, ПРАВДА?","HA-HA-HA! FUN, RIGHT?","HA-HA-HA! C'EST MARRANT, NON?","ハッハッハ! 楽しいですね。","hahaha! MACHT SPAß, ODER?","¡JA, JA, JA! DIVERTIDO, ¿VERDAD?","HA-HA-HA!","哈哈哈！ 很有趣，不是吗？"
"DIALOG_10_DEGROID_LEVEL_3_KEY","'ТЯЖЕЛО ДЫШИТ'","'HEAVY BREATHING'","'RESPIRATION LOURDE'","「息を強くする」","'ATMET SCHWER'","'JADEA'",""RESPIRAÇÃO PESADA"","'呼吸困难'"
"DIALOG_11_DEGROID_LEVEL_3_KEY","ЭТО БУДЕТ НЕЛЕГКО.","THIS WILL NOT BE EASY.","CE NE SERA PAS FACILE.","それは簡単ではありません。","ES WIRD NICHT EINFACH SEIN.","NO SERÁ FÁCIL.","NÃO VAI SER FÁCIL.","这可不容易。"
"DIALOG_12_DEGROID_LEVEL_3_KEY","НО Я ДОЛЖЕН НАЙТИ ВЫХОД ИЗ ЭТОГО БЕЗУМИЯ.","BUT I MUST FIND A WAY OUT OF THIS MADNESS.","MAIS JE DOIS TROUVER UN MOYEN DE SORTIR DE CETTE FOLIE.","しかし、私はこの狂気から抜け出す方法を見つけなければなりません。","ABER ICH MUSS EINEN AUSWEG AUS DIESEM WAHNSINN FINDEN.","PERO TENGO QUE ENCONTRAR UNA MANERA DE SALIR DE ESTA LOCURA","MAS TENHO DE ENCONTRAR UMA SAÍDA PARA ESTA LOUCURA.","但我必须找到摆脱这种疯狂的方法。"

"DIALOG_1_DEGROID_LEVEL_5_KEY","ЧТО ЭТО ЗА СЛИЗЬ? И ПОЧЕМУ ОНА ТАК АГРЕССИВНА?","WHAT IS THIS SLIME? AND WHY IS SHE SO AGGRESSIVE?","C'EST QUOI CETTE BOUE? ET POURQUOI EST-ELLE SI AGRESSIVE?","このスライムは何ですか？ そして、なぜ彼女はとても攻撃的なのですか？","WAS IST DIESER SCHLEIM? UND WARUM IST SIE SO AGGRESSIV?","¿QUÉ ES ESE LIMO? ¿Y POR QUÉ ES TAN AGRESIVA?","O QUE É ESSE MUCO? PORQUE É QUE ELA É TÃO AGRESSIVA?","这是什么粘液？ 她为什么这么咄咄逼人？"
"DIALOG_2_DOCTOR_LEVEL_5_KEY","О, ЭТО МОЯ ПОСЛЕДНЯЯ НАХОДКА.","OH, THIS IS MY LATEST FIND.","C'EST MA DERNIÈRE DÉCOUVERTE.","ああ、これは私の最新の発見です。","OH, DAS IST MEIN LETZTER FUND.","OH, ESTE ES MI ÚLTIMO HALLAZGO.","É A MINHA ÚLTIMA DESCOBERTA.","这是我的最新发现。"
"DIALOG_3_DOCTOR_LEVEL_5_KEY","Я ИСПОЛЬЗОВАЛ МУТАГЕН, ЧТОБЫ СДЕЛАТЬ ЕЕ БОЛЕЕ ЖИВУЧЕЙ И АГРЕССИВНОЙ.","I USED A MUTAGEN TO MAKE HER MORE RESILIENT AND AGGRESSIVE.","J'AI UTILISÉ MUTAGÈNE POUR LA RENDRE PLUS TENACE ET AGRESSIVE.","私は彼女をより弾力性と攻撃的にするために変異原を使用しました。","ICH HABE EIN MUTAGEN BENUTZT, UM SIE ZÄHFLÜSSIGER UND AGGRESSIVER ZU MACHEN.","USÉ MUTAGEN PARA HACERLA MÁS RESISTENTE Y AGRESIVA.","USEI O MUTAGÉNICO PARA TORNÁ-LA MAIS TENAZ E AGRESSIVA.","我用了诱变剂让她更有弹性，更有攻击性。"
"DIALOG_4_DOCTOR_LEVEL_5_KEY","НО НЕ БЕСПОКОЙСЯ, МОЙ ПОДОПЫТНЫЙ КРЫСЕНОК, ТЫ В БЕЗОПАСНОСТИ...","BUT DON'T WORRY, MY TEST RAT, YOU'RE SAFE...","MAIS NE T'INQUIÈTE PAS, MON COBAYE, TU ES EN SÉCURITÉ...","しかし、心配しないで、私のテストラット、あなたは安全です。..","ABER KEINE SORGE, MEIN VERSUCHSKANINCHEN, DU BIST IN SICHERHEIT...","PERO NO TE PREOCUPES, MI RATA DE PRUEBA, ESTÁS A SALVO...","MAS NÃO TE PREOCUPES, MINHA COBAIA, ESTÁS A SALVO...","但别担心，我的测试鼠，你很安全。.."
"DIALOG_5_DOCTOR_LEVEL_5_KEY","ПОКА ОНА НЕ ДОСТАНЕТ ТЕБЯ СВОИМИ ЩУПАЛЬЦАМИ, КОНЕЧНО.","UNTIL SHE GETS YOU WITH HER TENTACLES, OF COURSE.","JUSQU'À CE QU'ELLE TE TROUVE AVEC SES TENTACULES, BIEN SÛR.","彼女はもちろん、彼女の触手であなたを取得するまで。","BIS SIE DICH NATÜRLICH MIT IHREN TENTAKELN BEKOMMT.","HASTA QUE ELLA TE ATRAPE CON SUS TENTÁCULOS, POR SUPUESTO.","ATÉ ELA TE APANHAR COM OS TENTÁCULOS, CLARO.","当然，直到她用她的触手抓住你。"
"DIALOG_6_DOCTOR_LEVEL_5_KEY","ХА-ХА-ХА!","HA-HA-HA!","HA-HA-HA!","ハッハッハ!","hahaha!","¡JA, JA, JA!","HA-HA-HA!","哈哈哈！"

"DIALOG_1_DEGROID_LEVEL_9_KEY","ПИЛЫ? СЕРЬЕЗНО? У НЕГО ТОЧНО НЕ ВСЕ ДОМА…","SAWS? REALLY? HE'S DEFINITELY NOT ALL AT HOME…","SCIES? Est-ce sérieux ? IL N'A PAS TOUT À LA MAISON.…","のこぎり？ 本当に？ 彼は間違いなく家にいるわけではありません…","SÄGEN? Im Ernst? ER HAT DEFINITIV NICHT ALLES ZU HAUSE…","¿SIERRAS? ¿En serio? NO TIENE TODAS LAS CASAS.…","Serras? A sério? ELE NÃO ESTÁ EM CASA.…","锯子？ 你肯定吗？ 他肯定不在家…"
"DIALOG_2_DOCTOR_LEVEL_9_KEY","ХА-ХА-ХА!","HA-HA-HA!","HA-HA-HA!","ハッハッハ!","hahaha!","¡JA, JA, JA!","HA-HA-HA!","哈哈哈！"
"DIALOG_3_DOCTOR_LEVEL_9_KEY","ТЫ ДОШЕЛ ДО МОИХ ОСТРЫХ, КАК ЛЕЗВИЕ, ПИЛ!","YOU REACHED MY SHARP AS A BLADE, SAWING!","TU AS ATTEINT MON TRANCHANT COMME UNE LAME, BU!","あなたは私の刃の鋭い鋸に達しました！","DU HAST MEINE SCHARFE KLINGE ERREICHT UND GETRUNKEN!","¡HAS LLEGADO A MIS AFILADOS COMO UNA HOJA, BEBIENDO!","FOSTE ATÉ ÀS MINHAS LÂMINAS AFIADAS, A BEBER!","你找到了我锋利的锯子！"
"DIALOG_4_DOCTOR_LEVEL_9_KEY","НЕ ПЕРЕЖИВАЙ, НУЖНО ПРОСТО БЫТЬ БЫСТРЫМ И ГИБКИМ.","DON'T WORRY, JUST BE FAST AND FLEXIBLE.","NE VOUS INQUIÉTEZ PAS, VOUS AVEZ JUSTE BESOIN D'ÊTRE RAPIDE ET FLEXIBLE.","心配しないでください、あなたはただ速くて柔軟である必要があります。","MACH DIR KEINE SORGEN, DU MUSST EINFACH SCHNELL UND FLEXIBEL SEIN.","NO TE PREOCUPES, SOLO TIENES QUE SER RÁPIDO Y FLEXIBLE.","NÃO SE PREOCUPE, VOCÊ SÓ PRECISA SER RÁPIDO E FLEXÍVEL.","别担心，你只需要快速灵活。"
"DIALOG_5_DOCTOR_LEVEL_9_KEY","ИНАЧЕ...","OTHERWISE...","SINON...","そうでなければ。..","sonst...","DE OTRO MODO...","CASO CONTRÁRIO...","否则。.."
"DIALOG_6_DOCTOR_LEVEL_9_KEY","ТЫ УМРЕШЬ, КОНЕЧНО ЖЕ! И БУДЕШЬ УМИРАТЬ СНОВА И СНОВА!","YOU WILL DIE, OF COURSE! AND YOU WILL DIE AGAIN AND AGAIN!","TU VAS MOURIR, BIEN SÛR! ET TU VAS MOURIR ENCORE ET ENCORE!","もちろん、あなたは死ぬつもりです！ そして、あなたは何度も何度も死ぬでしょう！","DU WIRST NATÜRLICH STERBEN! UND DU WIRST IMMER WIEDER STERBEN!","¡MORIRÁS, POR SUPUESTO! ¡Y MORIRÁS UNA Y OTRA VEZ!","VAIS MORRER, É CLARO! E VAIS MORRER UMA E OUTRA VEZ!","当然，你会死的！ 你会一次又一次地死去！"
"DIALOG_7_DOCTOR_LEVEL_9_KEY","ХА-ХА-ХА!","HA-HA-HA!","HA-HA-HA!","ハッハッハ!","hahaha!","¡JA, JA, JA!","HA-HA-HA!","哈哈哈！"

"DIALOG_1_DEGROID_LEVEL_21_KEY","ЧТО-ТО НОВЕНЬКОЕ…","SOMETHING NEW…","QUELQUE CHOSE DE NOUVEAU…","新しい何か…","ETWAS NEUES…","ALGO NUEVO…","ALGO NOVO.…","新的东西…"
"DIALOG_2_DOCTOR_LEVEL_21_KEY","Я ВИЖУ, ТЫ ДОБРАЛСЯ ДО 21 УРОВНЯ! НЕПЛОХО… НЕПЛОХО…","I SEE YOU MADE UP TO LEVEL 21! NOT BAD, NOT BAD…","JE VOIS QUE TU AS ATTEINT LE NIVEAU 21! PAS MAL... PAS MAL.…","私はあなたがレベル21に達した参照してください！ 悪くない.. 悪くない…","ICH SEHE, DASS DU LEVEL 21 ERREICHT HAST! NICHT SCHLECHT... NICHT SCHLECHT…","¡VEO QUE HAS LLEGADO AL NIVEL 21! NO ESTÁ MAL... NO ESTÁ MAL.…","VEJO QUE CHEGASTE AO NÍVEL 21! NADA MAL.…","我看你已经达到21级了！ 不错。... 不错。…"
"DIALOG_3_DOCTOR_LEVEL_21_KEY","КАК ТВОЕ САМОЧУВСТВИЕ? УЖЕ ЧУВСТВУЕШЬ НОТКИ БЕЗУМИЯ? ХА-ХА-ХА!","HOW DO YOU FEEL? DO YOU FEEL THE CRAZY ALREADY? HA-HA-HA!","COMMENT TU TE SENS? TU SENS DÉJÀ UNE TOUCHE DE FOLIE? HA-HA-HA!","気分はどうだ? あなたはすでに狂気のノートを感じていますか？ ハッハッハ!","wie fühlst du dich? SPÜRST DU SCHON EINEN HAUCH VON WAHNSINN? hahaha!","¿CÓMO TE SIENTES? ¿YA SIENTES UN POCO DE LOCURA? ¡JA, JA, JA!","COMO TE SENTES? JÁ ESTÁS A SENTIR UM POUCO DE LOUCURA? HA-HA-HA!","你感觉怎么样？ 你已经感觉到疯狂的音符了吗？ 哈哈哈！"
"DIALOG_4_DEGROID_LEVEL_21_KEY","ТЫ ДУМАЕШЬ, ЧТО СВЕДЕШЬ МЕНЯ СУМА?","DO YOU THINK YOU WILL DRIVE ME CRAZY?","TU PENSES QUE TU VAS ME RAMENER À SUMA?","あなたは私を狂わせるつもりだと思いますか？","GLAUBST DU, DU BRINGST MICH IN DIE TASCHE?","¿CREES QUE ME VAS A SACAR DE ESTO?","ACHAS QUE ME VAIS FAZER PERDER A CABEÇA?","你以为你会把我逼疯吗？"
"DIALOG_5_DEGROID_LEVEL_21_KEY","ТЫ ОШИБАЕШЬСЯ! Я НАЙДУ ВЫХОД. Я ОБЯЗАТЕЛЬНО ЕГО НАЙДУ.","YOU'RE WRONG! I WILL FIND A WAY. I DEFINITELY WILL FIND IT.","TU AS TORT! JE TROUVERAI UNE ISSUE. JE VAIS CERTAINEMENT LE TROUVER.","あなたは間違っています！ 逃げ道を見つける 私は間違いなく彼を見つけるでしょう。","DU LIEGST FALSCH! ICH WERDE EINEN AUSWEG FINDEN. ICH WERDE IHN AUF JEDEN FALL FINDEN.","¡TE EQUIVOCAS! ENCONTRARÉ UNA SALIDA. LO ENCONTRARÉ.","ESTÁS ENGANADO! VOU ENCONTRAR UMA SAÍDA. VOU ENCONTRÁ-LO.","你以为你会把我逼疯吗？"
"DIALOG_6_DOCTOR_LEVEL_21_KEY","ХА-ХА-ХА! ОЧЕНЬ ИНТЕРЕСНО ПОСМОТРЕТЬ, КАК ТЫ БУДЕШЬ СТРАДАТЬ, ПЫТАЯСЬ ЭТО СДЕЛАТЬ!","HA-HA-HA! IT'S VERY INTERESTING TO SEE HOW YOU WILL SUFFER TRYING TO DO THIS!","HA-HA-HA! C'EST TRÈS EXCITANT DE VOIR COMMENT VOUS ALLEZ SOUFFRIR EN ESSAYANT DE LE FAIRE!","ハッハッハ! あなたがこれをやろうとするとどのように苦しむかを見るのは非常に興味深いです！","hahaha! ES IST SEHR INTERESSANT ZU SEHEN, WIE DU LEIDEN WIRST, WENN DU ES VERSUCHST!","¡JA, JA, JA! ¡ES MUY INTERESANTE VER CÓMO SUFRIRÁS TRATANDO DE HACERLO!","HA-HA-HA! É MUITO INTERESSANTE VER COMO VOCÊ SOFRERÁ TENTANDO FAZER ISSO!","哈哈哈！ 这是非常有趣的，看看你将如何受苦试图做到这一点！"

"DIALOG_1_DOCTOR_LEVEL_60_KEY","КАК ТЫ ДОБРАЛСЯ ДО СЮДА! НИКТО ЕЩЕ НЕ ДОХОДИЛ ДО ЭТОГО МЕСТА…","HOW DID YOU GET HERE! NO ONE HAS EVER MADE IT TO THIS PLACE...","COMMENT TU ES ARRIVÉ ICI! PERSONNE N'EST ENCORE ARRIVÉ À CET ENDROIT…","どうやってここに来たんだ! 誰もまだこの場所に到達していません…","WIE BIST DU HIERHER GEKOMMEN! NIEMAND HAT DIESEN ORT NOCH ERREICHT…","¡CÓMO LLEGASTE HASTA AQUÍ! NADIE HA LLEGADO A ESTE LUGAR TODAVÍA…","COMO CHEGASTE AQUI? NUNCA NINGUÉM CHEGOU A ESTE LUGAR.…","你怎么到这儿来的！ 还没有人到达这个地方…"
"DIALOG_2_DOCTOR_LEVEL_60_KEY","ЧТО Я СДЕЛАЛ НЕ ТАК? Я ВСЕ УЧЕЛ!","WHAT DID I DO WRONG? I TOOK EVERYTHING INTO ACCOUNT!","QU'AI-JE FAIT DE MAL? J'AI TOUT PRIS EN COMPTE!","私は何を間違っていましたか？ 私はすべてを考慮に入れました！","WAS HABE ICH FALSCH GEMACHT? ICH HABE ALLES BERÜCKSICHTIGT!","¿QUÉ HICE MAL? ¡LO HE TENIDO EN CUENTA!","O QUE FIZ DE ERRADO? EU CONTEI TUDO!","我做错了什么？ 我把一切都考虑到了！"
"DIALOG_3_DOCTOR_LEVEL_60_KEY","РАЗУМ ЧЕЛОВЕКА НЕ СПОСОБЕН ВЫДЕРЖАТЬ ВСЕ ЭТО!","THE HUMAN MIND IS NOT ABLE TO WITHSTAND ALL THIS!","L'ESPRIT DE L'HOMME N'EST PAS CAせん、私は天才です！","DER VERSTAND DES MENSCHEN KANN DAS ALLES NICHT ERTRAGEN!","¡LA MENTE HUMANA NO PUEDE SOPORTAR TODO ESTO!","A MENTE HUMANA NÃO PODE SUPORTAR TUDO ISSO!","人类的心灵是无法承受这一切的！"
"DIALOG_6_DOCTOR_LEVEL_60_KEY","ТЕБЕ НЕ ОСТАНОВИТЬ МЕНЯ, НИКОМУ НЕ ОСТАНОВИТЬ МЕНЯ!","YOU CAN'T STOP ME, NO ONE CAN STOP ME!","TU NE PEUX PAS M'ARRÊTER, PERSONNE NE PEUT M'ARRÊTER!","あなたは私を止めることはできません、誰も私を止めることはできません！","DU KANNST MICH NICHT AUFHALTEN, NIEMAND KANN MICH AUFHALTEN!","¡NO PUEDES DETENERME, NADIE PUEDE DETENERME!","NÃO ME PODES IMPEDIR, NINGUÉM ME PODE IMPEDIR!","你拦不住我，谁也拦不住我！"
"DIALOG_7_DOCTOR_LEVEL_60_KEY","И ТЫ БУДЕШЬ СО МНОЙ ВЕЧНО.","AND YOU WILL BE WITH ME FOREVER.","ET TU SERAS AVEC MOI POUR TOUJOURS.","そして、あなたは永遠に私と一緒にいます。","UND DU WIRST FÜR IMMER BEI MIR SEIN.","Y ESTARÁS CONMIGO PARA SIEMPRE.","E ESTARÁS COMIGO PARA SEMPRE.","你将永远和我在一起。"
"DIALOG_8_DOCTOR_LEVEL_60_KEY","'ДУМАЕТ'","'THINKS'","'PENSE'","「考えている」","'DENKT'","'PIENSA'","'Pensa'","'认为'"
"DIALOG_4_DEGROID_LEVEL_60_KEY","Я НЕ ПОЗВОЛЮ ТЕБЕ ПРОДОЛЖАТЬ СВОИ ЭКСПЕРИМЕНТЫ! ТЫ БЕЗУМЕН!","I WON'T LET YOU CONTINUE YOUR EXPERIMENTS! YOU'RE CRAZY!","JE NE TE LAISSERAI PAS CONTINUER TES EXPÉRIENCES! TU ES FOU!","私はあなたの実験を続けさせません！ あなたは狂っている！","ICH LASSE DICH MEINE EXPERIMENTE NICHT FORTSETZEN! DU BIST VERRÜCKT!","ICH LASSE DICH MEINE EXPERIMENTE NICHT FORTSETZEN! DU BIST VERRÜCKT!","NÃO TE VOU DEIXAR CONTINUAR COM AS TUAS EXPERIÊNCIAS! ÉS LOUCO!","我不会让你继续你的实验！ 你疯了！"
"DIALOG_5_DOCTOR_LEVEL_60_KEY","ТЫ НЕ ПОНИМАЕШЬ... Я НЕ БЕЗУМЕЦ, Я ГЕНИЙ!","YOU DON'T UNDERSTAND... I'M NOT CRAZY, I'M A GENIUS!","TU NE COMPRENDS PAS... JE NE SUIS PAS FOU, JE SUIS UN GÉNIE!","あなたは理解していません。.. 私は狂人ではありません、私は天才です！","du verstehst nicht... ICH BIN KEIN VERRÜCKTER, ICH BIN EIN GENIE!","du verstehst nicht... ICH BIN KEIN VERRÜCKTER, ICH BIN EIN GENIE!","NÃO ENTENDES... NÃO SOU LOUCO, SOU UM GÉNIO!","你不明白.. 我不是疯子，我是天才！"
"DIALOG_9_DOCTOR_LEVEL_60_KEY","ХОТЯ… Я РАЗОЧАРОВАЛСЯ В СВОИХ ЭКСПЕРИМЕНТАХ…","ALTHOUGH… I DISAPPOINTED IN MY EXPERIMENTS…","BIEN QUE ... J'AI ÉTÉ DÉÇU DE MES EXPÉRIENCES…","しかし...私は私の実験に失望しました…","OBWOHL... ICH VON MEINEN EXPERIMENTEN ENTTÄUSCHT WAR…","OBWOHL... ICH VON MEINEN EXPERIMENTEN ENTTÄUSCHT WAR…","NO ENTANTO, FIQUEI DESILUDIDO COM AS MINHAS EXPERIÊNCIAS.…","虽然......我对我的实验感到失望…"
"DIALOG_10_DOCTOR_LEVEL_60_KEY","ТЫ МЕНЯ ВПЕЧАТЛИЛ, ВОЗМОЖНО Я ТЕБЯ ОТПУЩУ.","YOU IMPRESSED ME, MAYBE I WILL LET YOU GO.","TU M'AS IMPRESSIONNÉ, PEUT - ÊTRE QUE JE VAIS TE LAISSER PARTIR.","あなたは私に感銘を与えました、多分私はあなたを手放すでしょう。","DU HAST MICH BEEINDRUCKT, VIELLEICHT LASSE ICH DICH GEHEN.","DU HAST MICH BEEINDRUCKT, VIELLEICHT LASSE ICH DICH GEHEN.","ESTOU IMPRESSIONADO CONTIGO. TALVEZ TE DEIXE IR.","你给我留下了深刻的印象，也许我会让你走。"
"DIALOG_11_DOCTOR_LEVEL_60_KEY","ТЕБЕ НУЖНО ЛИШЬ ДОБРАТЬСЯ ДО ПОСЛЕДНЕЙ ДВЕРИ.","YOU JUST HAVE TO GET TO THE LAST DOOR.","VOUS AVEZ JUSTE BESOIN D'ATTEINDRE LA DERNIÈRE PORTE.","あなたはただ最後のドアに着く必要があります。","DU MUSST NUR ZUR LETZTEN TÜR GELANGEN.","DU MUSST NUR ZUR LETZTEN TÜR GELANGEN.","SÓ TENS DE CHEGAR À ÚLTIMA PORTA.","你只需要到最后一扇门。"